organization,address,zip,main_phone,hours,payment,age_range_served,other_languages,behavioral_services_types,crisis_services,grief_services_availability,location
Chicago Survivors,"1010 W. 35 St., #510",60609,312-488-9222,"Weekdays: Monday - Friday 24/7
Weekends: Saturday & Sunday 24/7",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;,Spanish;,Behavioral Health Consulting; Individual Psychotherapy - short term; Group Therapy or Support Groups;,TRUE,TRUE,POINT (-87.651969962 41.830939013)
Chicago Survivors - Satellite,3250 W. 60th St.,60629,312-488-9222,"Weekdays: Monday - Friday 24/7
Weekends: Saturday & Sunday 24/7",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish;,Behavioral Health Consulting; Case Management/Care Coordination; Individual Psychotherapy - short term; Group Therapy or Support Groups;,TRUE,TRUE,POINT (-87.705393027 41.784663993)
Chinese American Service League,2141 S. Tan Ct.,60616,312-791-0418,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Cantonese; Chinese; Mandarin,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.635427018 41.854460017)
Christian Community Health Center - Calumet City,364 Torrence Ave.,60409,708-868-9457,"Weekdays: Monday, Tuesday, & Wednesday 8am - 6pm; Thursday 9am - 8pm; Friday 8am - 5pm
Weekends: Saturday (2nd) 8am - 2pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,0,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - short term; Individual Psychotherapy - long term; Psychiatry;,FALSE,TRUE,POINT (-87.559529975 41.626654012)
Christian Community Health Center - Halsted,9718 S. Halsted St.,60628,773-233-4100,"Weekdays: Monday & Friday 9am - 5pm; Tuesday & Wednesday 9am - 6pm; Thursday, 10am - 7pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,0,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,FALSE,TRUE,POINT (-87.643449003 41.716878997)
Christian Community Health Center - South Holland,901 Sibley Blvd.,60473,773-233-4100,"Weekdays: Monday, Tuesday, & Wednesday 8am - 6pm; Thursday 9am - 8pm; Friday 8am - 5pm
Weekends: Saturday (4th) 8am - 2pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,0,Behavioral Health Consulting; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,FALSE,TRUE,POINT (-87.548548788 41.622672179)
Community Counseling Centers of Chicago - Edgewater,5710 N. Broadway St.,60660,773-728-1000,Weekdays: Monday - Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,Spanish,Assertive Community Treatment; Case Management/Care Coordination; Community Support Teams; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Group Therapy or Support Groups; Peer Support Services; Psychiatry;,TRUE,FALSE,POINT (-87.660555964 41.985954015)
Community Counseling Centers of Chicago - Humboldt Park,2542 W. North Ave.,60647,773-365-7277,Weekdays: Monday - Thursday 8:30am - 8pm; Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Community Support Teams; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services; Psychiatry;,TRUE,FALSE,POINT (-87.691499017 41.910582013)
Community Counseling Centers of Chicago - Uptown,4740 N. Clark St.,60640,773-769-0205,Weekdays: Monday - Thursday 8:30am - 8pm; Friday 8:30am  - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term;  Psychiatry;,TRUE,FALSE,POINT (-87.66774001 41.968237018)
"EMAGES, INC.","7601 S. Kostner Ave., Suite 500",60652,773-224-7386,Weekdays: Monday - Wednesday 10am - 6pm; Friday 12pm - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,25-64 years old;Older than 64 years old;,0,Case Management/Care Coordination; Group Therapy or Support Groups; Individual Psychotherapy - short term; Individual Psychotherapy - long term;,FALSE,TRUE,POINT (-87.731911022 41.754538008)
Enlace Chicago,2729 S. Harding Ave.,60623,773-943-7570,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,13-17 years old;18-24 years old;,Spanish,Case Management/Care Coordination; Peer Support Services;,FALSE,FALSE,POINT (-87.722995024 41.841546019)
Envision Unlimited - American Islamic College,640 W. Irving Park,60613,773-281-4700,"Monday, Wednesday & Friday 9am-5pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,"Behavioral Health, Consulting, case management, individual therapy",TRUE,TRUE,POINT (-87.647318005 41.955064019)
Envision Unlimited - Uptown,4419 N. Ravenswood Ave.,60640,773-769-4313,Weekdays: Monday & Tuesday 9am-5pm; Wednesday 9am-7pm; Thursday & Friday 9am-5pm.,Services Free As Needed; Accepts Insurance and Uninsured Patients,13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Assertive Community Treatment; Behavioral Health Consulting; Case Management/Care Coordination; Community Support Teams; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services; Psychiatry;,TRUE,TRUE,POINT (-87.673557972 41.962132017)
Envision Unlimited - Westtown Center,1801 N. Spaulding Ave,60647,773-267-0444,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18+; 60+ years old;,Spanish,"Behavioral Health, Consulting, case management, individual therapy",TRUE,TRUE,POINT (-87.709748013 41.913982007)
Erie Family Health Centers - Amundsen,5110 N. Damen Ave.,60625,312-666-3494,"Weekdays: Monday, Tuesday, Thursday, & Friday 8am - 4:30pm; Wednesday 10am - 4:30pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,14-18 years old,0,Behavioral Health Consulting; Psychiatry;,FALSE,TRUE,POINT (-87.680044979 41.975113993)
Erie Family Health Centers - Clemente,1147 N. Western Ave.,60622,312-666-3494,"Weekdays: Monday, Tuesday, Thursday, & Friday 8am - 4:30pm; Wednesday 10am - 4:30pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,14-18 years old,Spanish,Behavioral Health Consulting; Psychiatry;,FALSE,TRUE,POINT (-87.686138036 41.902625995)
Erie Family Health Centers - Erie Division Street,2418 W. Division St.,60622,312-666-3494,"Weekdays: Monday, Tuesday, Thursday, & Friday 8:30am - 5:30pm; Wednesday 10am - 7pm
Weekends: Closed",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old; 25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Psychiatry;,FALSE,FALSE,POINT (-87.687715007 41.903352999)
Erie Family Health Centers - Erie Helping Hands,4747 N. Kedzie Ave.,60625,312-666-3494,"Weekdays: Monday, Tuesday, Thursday, & Friday 8:30am - 5:30pm; Wednesday 10am - 7pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish; Polish,Behavioral Health Consulting; Psychiatry;,FALSE,FALSE,POINT (-87.70811899 41.968093981)
Erie Family Health Centers - Erie Humboldt Park,2750 W. North Ave.,60647,312-666-3494,"Weekdays:  Monday, Tuesday, Thursday, & Friday 8:30am - 5:30pm; Wednesday 10am - 7pm
Weekends: Saturday 10am - 2pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Psychiatry;,FALSE,FALSE,POINT (-87.69674701 41.910527992)
Erie Family Health Centers - Erie West Town,"1701 W. Superior St., 2nd Floor",60622,312-666-3494,"Weekdays: Monday, Tuesday, Thursday, & Friday 8:30am - 5:30pm; Wednesday 10am - 7pm
Weekends: Closed",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Psychiatry;,FALSE,FALSE,POINT (-87.670061964 41.894857018)
Erie Family Health Centers - Foster Avenue,"5215 N. California Ave., 7th Floor",60625,312-666-3494,"Weekdays: Monday, Tuesday, Thursday, & Friday 8:30am - 5:30pm;  Wednesday 10am - 7pm
Weekends: Saturday 10am - 2pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Psychiatry;,FALSE,FALSE,POINT (-87.698577031 41.976311012)
Erie Family Health Centers - Johnson,1504 S. Albany Ave.,60623,312-666-3494,"Weekdays: Monday, Tuesday, Thursday, & Friday 8:00am - 4:30pm; Wednesday 10am - 4:30pm
Weekends: Closed",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,0,Behavioral Health Consulting; Psychiatry;,FALSE,TRUE,POINT (-87.703410959 41.861162983)
Erie Family Health Centers - Lakeview,4015 N. Ashland Ave.,60613,312-666-3494,"Weekdays: Monday, Tuesday, Thursday, & Friday 8am - 4:30pm; Wednesday 10am - 4:30pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,14-18 years old,Spanish,Behavioral Health Consulting; Psychiatry;,FALSE,TRUE,POINT (-87.668624971 41.955619991)
Erie Family Health Centers - Teen Center,2418 W. Division St.,60622,312-666-3494,"Weekdays: Monday, Tuesday, Thursday, & Friday 8:30am - 5:30pm; Wednesday 10am - 7pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,14-18 years old,Spanish,Behavioral Health Consulting; Psychiatry;,FALSE,TRUE,POINT (-87.687715007 41.903352999)
Erie Family Health Centers - Westside,646 N. Lawndale Ave.,60624,312-666-3494,"Weekdays: Monday, Tuesday, Thursday, & Friday 8:00am - 4:30pm; Wednesday 10am - 4:30pm
Weekends: Closed",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Psychiatry;,FALSE,TRUE,POINT (-87.71900901 41.89305801)
Erie Neighborhood House,1347 W Erie St.,60642,312-666-3430,Monday-Friday 7:30am-6:30 pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-17 years old; 18-24 years old; 25+ years old,Spanish,Case Management/Care Coordination; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,FALSE,FALSE,POINT (-87.661412008 41.89317301)
Erie Neighborhood House,4225 W. 25th St.,60625,773-542-7617,Monday - Friday 9:00 am-5:00 pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-17 years old; 18-24 years old; 25+ years old,Spanish,Case Management/Care Coordination; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,FALSE,FALSE,POINT (-87.730561033 41.845755997)
Esperanza Health Centers - 63rd Street,4058 W. 63rd St.,60629,773-584-6200,"Weekdays: Monday 7:30am - 6pm; Tuesday 7:30am - 5:30pm; Wednesday 8am - 5:30pm; Thursday (1st & 3rd) 11:15am - 7pm; Thursday (2nd, 4th & 5th) 7:30am - 5:30pm; Friday 8am - 4pm
Weekends: Saturday (2nd & 4th) 8am - 2pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,FALSE,FALSE,POINT (-87.725014979 41.778913001)
Esperanza Health Centers - Brighton Park,4700 S. California Ave.,60632,773-584-6200,"Weekdays: Monday 7:30am - 6:15pm; Tuesday & Wednesday 7:30am - 6:45pm; Thursday (1st & 3rd) 11am - 6:45pm; Thursday (2nd, 4th & 5th) 7:30am - 6:45pm; Friday 7:30am - 4:45pm
Weekends: Saturday 7:30am - 4:15pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Hindi; Spanish,Behavioral Health Consulting; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,FALSE,FALSE,POINT (-87.694911038 41.807563017)
Esperanza Health Centers - Brighton Park South,4720 S. California Ave.,60632,773-584-6200,"Weekdays: Monday 7:15 am – 5:45 pm; Tuesday 7:45 am – 5:15 pm; Wednesday 7:30 am – 6:15 pm; Thursday (1st & 3rd) 11:30 am – 6:45 pm; Thursday (2nd, 4th & 5th) 7:30 am – 4:45 pm; Friday 7:15 am – 4:45 pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,FALSE,FALSE,POINT (-87.694263362 41.807527872)
Esperanza Health Centers - California Avenue,2001 S. California Ave.,60608,773-584-6200,"Weekdays: Monday & Friday 7am - 5:30pm; Tuesday & Wednesday 7am - 6pm; Thursday (1st & 3rd) 11am - 7:15pm; Thursday (2nd, 4th & 5th) 7am - 5:30pm
Weekends: Saturday 7am - 2pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,13-17 years old;18-24 years old; 25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,FALSE,FALSE,POINT (-87.695258971 41.854698021)
Esperanza Health Centers - Esperanza at Latinos Progresando,2724 W Cermak Rd,60608,773-584-6200,Weekdays: Monday - Friday 8:00 am – 6:00 pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Case Management/Care Coordination; Individual Psychotherapy - long term,FALSE,FALSE,POINT (-87.694056 41.852203986)
Esperanza Health Centers - Little Village,3059 W. 26th St.,60623,773-584-6200,"Weekdays: Monday & Wednesday 7:30am - 5:30pm; Tuesday 7:30am - 5:45pm; Thursday (1st & 3rd) 11am - 7:15pm; Thursday (2nd, 4th & 5th) 7:30am - 4:30pm; Friday 8am - 5:30pm
Weekends: Saturday 8am - 4pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,FALSE,FALSE,POINT (-87.701986035 41.843445986)
Esperanza Health Centers - Marquette,6550 S. Richmond St.,60629,773-584-6200,"Weekdays: Monday 7:30am - 5pm; Tuesday 7:30am - 3:15pm; Wednesday 8:45am - 4:45pm; Thursday (1st & 3rd) 11:30am - 6:45pm; Thursday (2nd, 4th, & 5th) 7:30am - 5:45pm; Friday 7:30am - 12:30pm
Weekends: Saturday 7:30am - 3:45pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,0,FALSE,FALSE,POINT (-87.697709001 41.774213981)
Friend Health,6250 S. Cottage Grove Ave.,60637,312-682-6110,"Weekdays: Monday & Wednesday - 8am - 8pm; Tuesday, Thursday, & Friday 8am - 5pm
Weekends: Saturday 8am - 12pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Group Therapy or Support Groups; Individual Psychotherapy - short term; Peer Support Services; Psychiatry; Psychological Testing;,FALSE,TRUE,POINT (-87.606559995 41.780665993)
Friend Health - Western,5843 S. Western Ave.,60636,312-682-6110,"Weekdays: Monday, Tuesday, Thursday, & Friday 8am - 5pm; Wednesday 8am - 8pm
Weekends: Saturday 8am - 12pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Individual Psychotherapy - short term; Psychiatry;,FALSE,FALSE,POINT (-87.683359016 41.787178019)
Gads Hill Center - Curie Metro High School,4959 S. Archer Ave.,60632,312-226-0963,Weekdays: Monday - Friday 8am - 4pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,13-18 years old,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term ;,TRUE,TRUE,POINT (-87.721769003 41.802271019)
Gads Hill Center - John Hancock College Preparatory High School,5437 W. 64th Pl.,60638,312-226-0963,Weekdays: Monday - Friday 8am - 4pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,13-18 years old,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term;Individual Psychotherapy - short term;,TRUE,TRUE,POINT (-87.758254003 41.776112985)
Gads Hill Center - Pilsen Site (Cullerton),1919 W. Cullerton St.,60608,312-226-0963,Weekdays: Monday - Friday 8am - 6pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5 - 18 years old,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term ;,FALSE,FALSE,POINT (-87.674385015 41.85472698)
"GreenBax Health Solutions, LLC",4922 W. Chicago Ave.,60651,773-417-3784,Weekdays: Tuesday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old;,0,Behavioral Health Consulting; Case Management/Care Coordination; Psychiatry; Psychological Testing;,TRUE,FALSE,POINT (-87.749354014 41.895214003)
"Habilitative Systems, Inc. - Urban Behavioral Health Institute - West",4133 W. Madison St.,60624,773-261-2252,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,0,Case Management/Care Coordination; Community Support Teams; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,TRUE,TRUE,POINT (-87.729541961 41.880409006)
"Habilitative Systems, Inc. - Urban Behavioral Health Institute South",6845 S. Western Ave.,60636,773-745-2615,Weekdays: Monday - Friday 8:30am - 4:30pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,0,Case Management/Care Coordination; Community Support Teams; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - short term; Individual Psychotherapy - long term;,TRUE,TRUE,POINT (-87.683009993 41.769074994)
Hamdard Health Alliance - Rogers Park,1542 W. Devon Ave.,60660,773-465-4600,"Weekdays: Monday Wednesday, & Friday 7:30am - 5pm; Tuesday 8:30am - 5pm; Thursday 7am - 4pm
Weekends: Saturday (2nd) 8am - 12pm; All other Saturdays 8am - 12pm (Telehealth only)",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Arabic; Bosnian; Spanish; Urdu,Behavioral Health Consulting; Case Management/Care Coordination; Group Therapy or Support Groups;  Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry,FALSE,FALSE,POINT (-87.669689976 41.998350011)
HANA Center,4300 N. California Ave.,60618,773-583-5501,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old;,Spanish;Korean;,Behavioral Health Consulting; Case Management/Care Coordination;,FALSE,FALSE,POINT (-87.698780963 41.959544985)
Healthcare Alternative Systems (HAS) - Armitage Location,2755 W. Armitage Ave.,60647,773-252-3100,Weekdays: Monday - Friday 9am - 8pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;Older than 64 years old,Spanish,Assertive Community Treatment; Behavioral Health Consulting; Case Management/Care Coordination; Community Support Teams; Group Therapy or Support Groups; Intensive Outpatient Program; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services;  Psychological Testing; Psychiatry;,FALSE,FALSE,POINT (-87.69648801 41.917260001)
Healthcare Alternative Systems (HAS) - Belmont Cragin Location,5001 W. Fullerton Ave.,60639,773-745-7107,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;Older than 64 years old,Spanish,Assertive Community Treatment; Behavioral Health Consulting; Case Management/Care Coordination; Community Support Teams; Group Therapy or Support Groups; Intensive Outpatient Program; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services;  Psychological Testing; Psychiatry;,TRUE,FALSE,POINT (-87.751388973 41.923947)
Healthcare Alternative Systems (HAS) - Western Location,4534 S. Western Ave.,60690,773-254-5141,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;Older than 64 years old,Spanish,Assertive Community Treatment; Behavioral Health Consulting; Case Management/Care Coordination; Community Support Teams; Group Therapy or Support Groups; Intensive Outpatient Program; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services;  Psychological Testing; Psychiatry;,FALSE,FALSE,POINT (-87.684785029 41.810938996)
Heartland Alliance Health - Englewood,5501 S. Halsted Ave.,60621,773-275-2586,Weekdays: Monday - Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old; 13-17 years old;18-24 years old;25-64 years old; Older than 64 years old,0,Behavioral Health Consulting; Case Management/Care Coordination; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,FALSE,TRUE,POINT (-87.644807961 41.793758986)
Heartland Alliance Health - Uptown,1015 West Lawrence Ave.,60640,773-275-2586,Weekdays: Monday - Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,0,Behavioral Health Consulting; Case Management/Care Coordination; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services; Psychiatry;,FALSE,TRUE,POINT (-87.655307971 41.968946001)
Heartland Alliance Health - West Loop (inside Haymarket),"932 W. Washington Ave., #224",60607,773-275-2586,Weekdays: Monday - Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,0,Behavioral Health Consulting; Case Management/Care Coordination; Individual Psychotherapy - short term; Peer Support Services; Psychiatry;,FALSE,FALSE,POINT (-87.88043965 42.281533682)
Howard Brown Health - 55th St.,1525 E. 55th St.,60637,773-388-1600,"Weekdays: Monday, Wednesday, & Friday 9am - 5pm; Tuesday 10am - 6pm; Thursday 9am - 8pm
Weekends: Saturday 11am - 3pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,FALSE,FALSE,POINT (-87.588042024 41.794884005)
Howard Brown Health - 63rd St.,641 W. 63rd St.,60621,773-388-1600,"Weekdays: Monday & Friday 9am - 5pm; Tuesday 10am - 5pm; Wednesday & Thursday 9am - 7pm
Weekends: Saturday (1st, 2nd, 3rd, and 4th) 9am - 3pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,0,Behavioral Health Consulting; Group Therapy or Support Groups; Individual Psychotherapy - short term;,FALSE,FALSE,POINT (-87.641298961 41.779505979)
Howard Brown Health - Broadway Youth Center,1023 W. Irving Park Rd.,60613,773-388-1600,"Weekdays: (Drop-in) Monday, Tuesday, Thursday, & Friday 9am- 3pm; Wednesday 1 - 5pm; (Walk-in Clinic) Monday, Tuesday, Thursday, & Friday 10am - 6pm; Wednesday 1pm-6pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,13-17 years old;18-24 years old,0,Behavioral Health Consulting; Group Therapy or Support Groups; Individual Psychotherapy - long term;,FALSE,FALSE,POINT (-87.655506035 41.95425198)
Howard Brown Health - Clark,6500 N. Clark St.,60626,773-388-1600,"Weekdays: Monday, Wednesday, & Thursday 9am - 7pm; Tuesday 10am - 7pm; Friday 9am - 5pm
Weekends: Saturday 9am - 3pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Group Therapy or Support Groups; Individual Psychotherapy - short term;,FALSE,FALSE,POINT (-87.671669027 41.999918014)
Howard Brown Health - Counseling Center,3948 N. Sheridan Rd.,60613,773-388-1600,On-site services at this location are currently suspended,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,0,Behavioral Health Consulting; Case Management/Care Coordination; Group Therapy or Support Groups; Individual Psychotherapy - short term; Psychiatry;,TRUE,FALSE,POINT (-87.654893989 41.954266984)
Howard Brown Health - Halsted,3245 N. Halsted St.,60657,773-388-1600,"Weekdays: Monday, Wednesday, & Thursday 9am - 7pm; Tuesday 10am - 7pm; Friday 9am - 5pm
Weekends: Saturday 9am - 3pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,0,Behavioral Health Consulting; Group Therapy or Support Groups; Individual Psychotherapy - short term;,FALSE,FALSE,POINT (-87.649084994 41.941289996)
Howard Brown Health - La Casa Norte,3533 W. North Ave.,60647,773-388-1600,"Weekdays: Monday, Wednesday, & Friday 9am - 5pm; Tuesday 10am - 5pm; Thursday 11am - 7pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Group Therapy or Support Groups; Individual Psychotherapy - short term;,FALSE,FALSE,POINT (-87.715746019 41.909712014)
Howard Brown Health - Sheridan,4025 N. Sheridan Rd.,60613,773-388-1600,"Weekdays: Monday, Wednesday, & Thursday 9am - 7pm; Tuesday 10am - 7pm; Friday 9am - 5pm
Weekends: Saturday 9am - 3pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,0,Behavioral Health Consulting; Case Management/Care Coordination; Group Therapy or Support Groups; Individual Psychotherapy - short term;,FALSE,FALSE,POINT (-87.65416996 41.95520802)
